weather_risk,traffic_impact,customer_history_score,agent_profit_score,distance_score,time_of_day_score,package_size_score,area,time_window,residence_type,package_size_raw,is_weekend,is_festival_day,day_of_week,date,true_risk_score,label
0.0138,0.334,0.7685,0.5547,0.2781,0.4989,0.5426,Anna Nagar,afternoon,independent,medium,0,0,4,2024-02-02,6.11,1
0.1702,0.8087,0.7496,0.6808,0.3139,0.5008,0.7518,Velachery,afternoon,independent,large,0,0,4,2024-07-19,40.94,1
0.0406,0.7323,0.9185,0.6311,0.4616,0.3303,0.471,Velachery,morning,independent,medium,1,1,6,2024-01-14,15.64,1
0.0189,0.7257,0.7904,0.7145,0.4569,0.4164,0.5348,Anna Nagar,afternoon,apartment,medium,0,0,2,2024-10-09,11.48,1
0.2018,0.28,0.9081,0.865,0.5124,0.4303,0.6597,Velachery,evening,independent,medium,0,0,4,2024-07-19,11.18,1
0.1225,0.7292,0.6424,0.8034,0.1422,0.5703,0.1549,Porur,afternoon,apartment,small,0,0,0,2024-06-10,22.37,1
0.3385,0.5476,0.3741,0.9297,0.7666,0.4536,0.7263,Adyar,afternoon,apartment,large,0,0,1,2024-08-20,63.38,0
0.0439,0.5063,0.6614,0.8072,0.5641,0.5066,0.2121,Porur,afternoon,apartment,small,1,0,5,2024-04-27,12.04,1
0.3917,0.5845,0.3368,0.9296,0.8927,0.3943,0.7097,Velachery,morning,apartment,large,1,0,6,2024-11-03,74.42,0
0.5908,0.2798,0.7544,0.8341,0.2607,0.3342,0.1444,Velachery,evening,apartment,small,0,0,4,2024-05-10,32.49,1
0.5446,0.5048,0.8621,0.966,0.5972,0.3763,0.7168,Velachery,evening,apartment,large,0,0,4,2024-02-09,53.36,0
0.1356,0.3907,0.7888,0.6557,0.5134,0.4183,0.1651,Porur,evening,apartment,small,0,0,3,2024-10-17,13.78,1
0.1021,0.5556,0.9103,0.8356,0.5901,0.4682,0.4882,Adyar,afternoon,apartment,medium,0,0,4,2024-02-02,13.49,1
0.779,0.4247,0.3701,0.829,0.3523,0.4064,0.2262,Velachery,evening,apartment,small,0,0,1,2024-12-17,81.13,0
0.4297,0.6296,0.5402,0.9301,0.2957,0.4454,0.2664,Velachery,evening,independent,small,0,0,3,2024-07-18,58.89,1
0.379,0.1493,0.5285,0.5107,0.2156,0.2397,0.529,Adyar,morning,apartment,medium,1,0,5,2024-06-15,25.35,1
0.5223,0.9174,0.6525,0.9654,0.1361,0.4623,0.5278,Adyar,afternoon,independent,medium,0,0,2,2024-07-17,87.33,0
0.1337,0.5018,0.6533,0.7083,0.4003,0.4999,0.3407,Anna Nagar,afternoon,apartment,medium,0,0,4,2024-07-19,21.8,1
0.1274,0.5942,0.7104,0.9167,0.4166,0.3073,0.2066,Adyar,morning,independent,small,0,0,4,2024-05-31,16.66,1
0.0409,0.9986,0.6819,0.8637,0.4809,0.3421,0.7748,T Nagar,morning,apartment,large,0,0,0,2024-06-24,24.73,1
0.2003,0.5323,0.6759,0.3875,0.3192,0.3648,0.5291,T Nagar,evening,apartment,medium,1,0,6,2024-04-21,34.57,1
0.357,0.6764,0.4219,0.5329,0.1911,0.4289,0.2269,Porur,evening,independent,small,1,1,6,2024-04-14,64.21,0
0.202,0.7738,0.6315,0.2497,0.3532,0.5086,0.7132,Anna Nagar,afternoon,independent,large,0,0,4,2024-12-06,55.13,1
0.3248,0.2219,0.7847,0.329,0.1705,0.5151,0.6777,Adyar,afternoon,independent,large,0,0,2,2024-09-04,28.06,1
0.3752,0.4865,0.386,0.7296,0.1589,0.4945,0.5251,Porur,afternoon,independent,medium,0,0,4,2024-11-22,50.44,0
0.0145,0.7802,0.5339,0.6482,0.653,0.4211,0.1825,Velachery,evening,apartment,small,0,0,2,2024-02-21,30.27,1
0.0842,0.2004,0.6945,0.9921,0.9138,0.2759,0.6438,Adyar,morning,apartment,medium,0,0,4,2024-07-12,11.28,1
0.0498,0.1025,0.7413,0.5084,0.5294,0.461,0.7807,Anna Nagar,evening,apartment,large,1,0,6,2024-11-24,8.97,1
0.0002,0.3754,0.6878,0.7637,0.6176,0.155,0.8007,Anna Nagar,morning,apartment,large,0,0,0,2024-09-02,7.45,1
0.0993,0.4674,0.939,0.7888,0.0542,0.5129,0.8529,Anna Nagar,afternoon,independent,large,1,0,5,2024-07-13,1.16,1
0.3483,0.3918,0.472,0.6277,0.3502,0.5208,0.8002,Anna Nagar,afternoon,apartment,large,1,0,6,2024-07-14,44.92,1
0.359,0.2538,0.6164,0.3792,0.3246,0.3097,0.1453,Adyar,evening,apartment,small,0,0,3,2024-01-18,33.02,1
0.1432,0.6333,0.5349,0.548,0.3437,0.5438,0.8133,Adyar,afternoon,apartment,large,0,0,1,2024-12-10,43.1,1
0.3049,0.1849,0.7969,0.4772,0.6374,0.4364,0.2433,Anna Nagar,evening,independent,small,1,0,6,2024-11-17,18.66,1
0.1553,0.1629,0.298,0.5432,0.2926,0.503,0.4915,Adyar,afternoon,apartment,medium,0,0,0,2024-01-01,31.38,1
0.1831,0.0921,0.6321,0.4988,0.2704,0.2278,0.5659,Porur,morning,independent,medium,0,0,0,2024-02-26,11.37,1
