text,category
Heavy rain made delivery impossible today,weather
Heavy rainfall made delivery impossible today,weather
Heavy storm made delivery impossible today,weather
Heavy flooding made delivery impossible today,weather
Heavy cyclone made delivery impossible today,weather
Heavy heavy downpour made delivery impossible today,weather
Heavy thunderstorm made delivery impossible today,weather
Heavy monsoon rain made delivery impossible today,weather
Heavy flash flood made delivery impossible today,weather
Could not deliver due to rain in the area,weather
Could not deliver due to rainfall in the area,weather
Could not deliver due to storm in the area,weather
Could not deliver due to flooding in the area,weather
Could not deliver due to cyclone in the area,weather
Could not deliver due to heavy downpour in the area,weather
Could not deliver due to thunderstorm in the area,weather
Could not deliver due to monsoon rain in the area,weather
Could not deliver due to flash flood in the area,weather
rain flooded the roads near the delivery address,weather
rainfall flooded the roads near the delivery address,weather
storm flooded the roads near the delivery address,weather
flooding flooded the roads near the delivery address,weather
cyclone flooded the roads near the delivery address,weather
heavy downpour flooded the roads near the delivery address,weather
thunderstorm flooded the roads near the delivery address,weather
monsoon rain flooded the roads near the delivery address,weather
flash flood flooded the roads near the delivery address,weather
Delivery cancelled because of rain conditions,weather
Delivery cancelled because of rainfall conditions,weather
Delivery cancelled because of storm conditions,weather
Delivery cancelled because of flooding conditions,weather
Delivery cancelled because of cyclone conditions,weather
Delivery cancelled because of heavy downpour conditions,weather
Delivery cancelled because of thunderstorm conditions,weather
Delivery cancelled because of monsoon rain conditions,weather
Delivery cancelled because of flash flood conditions,weather
Roads were flooded due to rain,weather
Roads were slippery due to rainfall,weather
Roads were dangerous due to storm,weather
Roads were waterlogged due to flooding,weather
Roads were hazardous due to cyclone,weather
Roads were wet due to heavy downpour,weather
Roads were unsafe due to thunderstorm,weather
Roads were flooded due to monsoon rain,weather
Roads were submerged due to flash flood,weather
Extreme rain prevented reaching the customer,weather
Extreme rainfall prevented reaching the customer,weather
Extreme storm prevented reaching the customer,weather
Extreme flooding prevented reaching the customer,weather
Extreme cyclone prevented reaching the customer,weather
Extreme heavy downpour prevented reaching the customer,weather
Extreme thunderstorm prevented reaching the customer,weather
Extreme monsoon rain prevented reaching the customer,weather
Extreme flash flood prevented reaching the customer,weather
Delivery suspended as rain damaged the route,weather
Delivery suspended as rainfall damaged the route,weather
Delivery suspended as storm damaged the route,weather
Delivery suspended as flooding damaged the route,weather
Delivery suspended as cyclone damaged the route,weather
Delivery suspended as heavy downpour damaged the route,weather
Delivery suspended as thunderstorm damaged the route,weather
Delivery suspended as monsoon rain damaged the route,weather
Delivery suspended as flash flood damaged the route,weather
rain caused severe visibility problems on the way,weather
rainfall caused severe visibility problems on the way,weather
storm caused severe visibility problems on the way,weather
flooding caused severe visibility problems on the way,weather
cyclone caused severe visibility problems on the way,weather
heavy downpour caused severe visibility problems on the way,weather
thunderstorm caused severe visibility problems on the way,weather
monsoon rain caused severe visibility problems on the way,weather
flash flood caused severe visibility problems on the way,weather
The area experienced rain and delivery was halted,weather
The area experienced rainfall and delivery was halted,weather
The area experienced storm and delivery was halted,weather
The area experienced flooding and delivery was halted,weather
The area experienced cyclone and delivery was halted,weather
The area experienced heavy downpour and delivery was halted,weather
The area experienced thunderstorm and delivery was halted,weather
The area experienced monsoon rain and delivery was halted,weather
The area experienced flash flood and delivery was halted,weather
Weather was too flooded for safe delivery,weather
Weather was too slippery for safe delivery,weather
Weather was too dangerous for safe delivery,weather
Weather was too waterlogged for safe delivery,weather
Weather was too hazardous for safe delivery,weather
Weather was too wet for safe delivery,weather
Weather was too unsafe for safe delivery,weather
Weather was too flooded for safe delivery,weather
Weather was too submerged for safe delivery,weather
Customer area inaccessible due to rain,weather
Customer area inaccessible due to rainfall,weather
Customer area inaccessible due to storm,weather
Customer area inaccessible due to flooding,weather
Customer area inaccessible due to cyclone,weather
Customer area inaccessible due to heavy downpour,weather
Customer area inaccessible due to thunderstorm,weather
Customer area inaccessible due to monsoon rain,weather
Customer area inaccessible due to flash flood,weather
Forced to turn back because rain blocked the path,weather
Forced to turn back because rainfall blocked the path,weather
Forced to turn back because storm blocked the path,weather
Forced to turn back because flooding blocked the path,weather
Forced to turn back because cyclone blocked the path,weather
Forced to turn back because heavy downpour blocked the path,weather
Forced to turn back because thunderstorm blocked the path,weather
Forced to turn back because monsoon rain blocked the path,weather
Forced to turn back because flash flood blocked the path,weather
rain warning issued and delivery postponed,weather
rainfall warning issued and delivery postponed,weather
storm warning issued and delivery postponed,weather
flooding warning issued and delivery postponed,weather
cyclone warning issued and delivery postponed,weather
heavy downpour warning issued and delivery postponed,weather
thunderstorm warning issued and delivery postponed,weather
monsoon rain warning issued and delivery postponed,weather
flash flood warning issued and delivery postponed,weather
Unable to deliver due to flooded weather conditions all day,weather
Unable to deliver due to slippery weather conditions all day,weather
Unable to deliver due to dangerous weather conditions all day,weather
Unable to deliver due to waterlogged weather conditions all day,weather
Unable to deliver due to hazardous weather conditions all day,weather
Unable to deliver due to wet weather conditions all day,weather
Unable to deliver due to unsafe weather conditions all day,weather
Unable to deliver due to flooded weather conditions all day,weather
Unable to deliver due to submerged weather conditions all day,weather
Storm level rain hit the route midway,weather
Storm level rainfall hit the route midway,weather
Storm level storm hit the route midway,weather
Storm level flooding hit the route midway,weather
Storm level cyclone hit the route midway,weather
Storm level heavy downpour hit the route midway,weather
Storm level thunderstorm hit the route midway,weather
Storm level monsoon rain hit the route midway,weather
Storm level flash flood hit the route midway,weather
Customer was not available at the time of delivery,customer
Customer was absent at the time of delivery,customer
Customer was unavailable at the time of delivery,customer
Customer was not home at the time of delivery,customer
Customer was out of town at the time of delivery,customer
Customer was not reachable at the time of delivery,customer
Customer was away at the time of delivery,customer
Customer was asleep at the time of delivery,customer
Customer was unavailable all day at the time of delivery,customer
Customer did not answer the door,customer
Recipient did not answer the door,customer
Nobody did not answer the door,customer
Customer did not answer the door,customer
Resident did not answer the door,customer
Contact person did not answer the door,customer
Customer did not answer the door,customer
Customer did not answer the door,customer
Recipient did not answer the door,customer
Nobody was not available at the delivery address,customer
Nobody was absent at the delivery address,customer
Nobody was unavailable at the delivery address,customer
Nobody was not home at the delivery address,customer
Nobody was out of town at the delivery address,customer
Nobody was not reachable at the delivery address,customer
Nobody was away at the delivery address,customer
Nobody was asleep at the delivery address,customer
Nobody was unavailable all day at the delivery address,customer
Customer refused the package upon arrival,customer
Customer was not there the package upon arrival,customer
Customer did not answer the package upon arrival,customer
Customer cancelled the package upon arrival,customer
Customer declined the package upon arrival,customer
Customer refused the package upon arrival,customer
Customer did not pick up the package upon arrival,customer
Customer did not respond the package upon arrival,customer
Customer was unreachable the package upon arrival,customer
Customer was absent and could not collect,customer
Recipient was absent and could not collect,customer
Nobody was absent and could not collect,customer
Customer was absent and could not collect,customer
Resident was absent and could not collect,customer
Contact person was absent and could not collect,customer
Customer was absent and could not collect,customer
Customer was absent and could not collect,customer
Recipient was absent and could not collect,customer
Attempted delivery but customer was not available,customer
Attempted delivery but customer was absent,customer
Attempted delivery but customer was unavailable,customer
Attempted delivery but customer was not home,customer
Attempted delivery but customer was out of town,customer
Attempted delivery but customer was not reachable,customer
Attempted delivery but customer was away,customer
Attempted delivery but customer was asleep,customer
Attempted delivery but customer was unavailable all day,customer
Customer refused to accept the order,customer
Customer was not there to accept the order,customer
Customer did not answer to accept the order,customer
Customer cancelled to accept the order,customer
Customer declined to accept the order,customer
Customer refused to accept the order,customer
Customer did not pick up to accept the order,customer
Customer did not respond to accept the order,customer
Customer was unreachable to accept the order,customer
Delivery failed because Customer was not reachable,customer
Delivery failed because Recipient was not reachable,customer
Delivery failed because Nobody was not reachable,customer
Delivery failed because Customer was not reachable,customer
Delivery failed because Resident was not reachable,customer
Delivery failed because Contact person was not reachable,customer
Delivery failed because Customer was not reachable,customer
Delivery failed because Customer was not reachable,customer
Delivery failed because Recipient was not reachable,customer
Customer requested delay but then refused,customer
Recipient requested delay but then was not there,customer
Nobody requested delay but then did not answer,customer
Customer requested delay but then cancelled,customer
Resident requested delay but then declined,customer
Contact person requested delay but then refused,customer
Customer requested delay but then did not pick up,customer
Customer requested delay but then did not respond,customer
Recipient requested delay but then was unreachable,customer
Customer was not available when we arrived with the package,customer
Customer was absent when we arrived with the package,customer
Customer was unavailable when we arrived with the package,customer
Customer was not home when we arrived with the package,customer
Customer was out of town when we arrived with the package,customer
Customer was not reachable when we arrived with the package,customer
Customer was away when we arrived with the package,customer
Customer was asleep when we arrived with the package,customer
Customer was unavailable all day when we arrived with the package,customer
No one not available at the given address,customer
No one absent at the given address,customer
No one unavailable at the given address,customer
No one not home at the given address,customer
No one out of town at the given address,customer
No one not reachable at the given address,customer
No one away at the given address,customer
No one asleep at the given address,customer
No one unavailable all day at the given address,customer
Package undelivered as customer refused it,customer
Package undelivered as customer was not there it,customer
Package undelivered as customer did not answer it,customer
Package undelivered as customer cancelled it,customer
Package undelivered as customer declined it,customer
Package undelivered as customer refused it,customer
Package undelivered as customer did not pick up it,customer
Package undelivered as customer did not respond it,customer
Package undelivered as customer was unreachable it,customer
Customer was busy and refused to receive delivery,customer
Recipient was busy and was not there to receive delivery,customer
Nobody was busy and did not answer to receive delivery,customer
