text,intent
What is the status of order #124?,order_status
What is the status of order #256?,order_status
What is the status of my last order?,order_status
What is the status of the pending order?,order_status
What is the status of #789?,order_status
What is the status of order number 42?,order_status
What is the status of the Velachery order?,order_status
What is the status of today's first order?,order_status
Where is order #124 right now?,order_status
Where is order #256 right now?,order_status
Where is my last order right now?,order_status
Where is the pending order right now?,order_status
Where is #789 right now?,order_status
Where is order number 42 right now?,order_status
Where is the Velachery order right now?,order_status
Where is today's first order right now?,order_status
Has order #124 been delivered yet?,order_status
Has order #256 been delivered yet?,order_status
Has my last order been delivered yet?,order_status
Has the pending order been delivered yet?,order_status
Has #789 been delivered yet?,order_status
Has order number 42 been delivered yet?,order_status
Has the Velachery order been delivered yet?,order_status
Has today's first order been delivered yet?,order_status
Can you check on order #124 for me?,order_status
Can you check on order #256 for me?,order_status
Can you check on my last order for me?,order_status
Can you check on the pending order for me?,order_status
Can you check on #789 for me?,order_status
Can you check on order number 42 for me?,order_status
Can you check on the Velachery order for me?,order_status
Can you check on today's first order for me?,order_status
Is order #124 still pending or delivered?,order_status
Is order #256 still pending or delivered?,order_status
Is my last order still pending or delivered?,order_status
Is the pending order still pending or delivered?,order_status
Is #789 still pending or delivered?,order_status
Is order number 42 still pending or delivered?,order_status
Is the Velachery order still pending or delivered?,order_status
Is today's first order still pending or delivered?,order_status
Track order #124 please,order_status
Track order #256 please,order_status
Track my last order please,order_status
Track the pending order please,order_status
Track #789 please,order_status
Track order number 42 please,order_status
Track the Velachery order please,order_status
Track today's first order please,order_status
Give me an update on order #124,order_status
Give me an update on order #256,order_status
Give me an update on my last order,order_status
Give me an update on the pending order,order_status
Give me an update on #789,order_status
Give me an update on order number 42,order_status
Give me an update on the Velachery order,order_status
Give me an update on today's first order,order_status
What happened with order #124?,order_status
What happened with order #256?,order_status
What happened with my last order?,order_status
What happened with the pending order?,order_status
What happened with #789?,order_status
What happened with order number 42?,order_status
What happened with the Velachery order?,order_status
What happened with today's first order?,order_status
Any news on the delivery of order #124?,order_status
Any news on the delivery of order #256?,order_status
Any news on the delivery of my last order?,order_status
Any news on the delivery of the pending order?,order_status
Any news on the delivery of #789?,order_status
Any news on the delivery of order number 42?,order_status
Any news on the delivery of the Velachery order?,order_status
Any news on the delivery of today's first order?,order_status
